2020-12-13 22:12:632 INFO  HomePage :46 - Clicking on sign up link[[ChromeDriver: chrome on WINDOWS (f30ebafcc1147b8cba62e6ee1768eddf)] -> xpath: //body/div[@id='mm-0']/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]]
2020-12-13 22:12:310 INFO  HomePage :52 - Clicking on new Account tab[[ChromeDriver: chrome on WINDOWS (f30ebafcc1147b8cba62e6ee1768eddf)] -> xpath: //tbody/tr[4]/td[1]/a[1]]
2020-12-13 22:12:719 INFO  HomePage :59 - enter email address[[ChromeDriver: chrome on WINDOWS (f30ebafcc1147b8cba62e6ee1768eddf)] -> xpath: //input[@id='login']]
2020-12-13 22:12:490 INFO  HomePage :65 - enter password[[ChromeDriver: chrome on WINDOWS (f30ebafcc1147b8cba62e6ee1768eddf)] -> xpath: //input[@id='password']]
2020-12-13 22:12:856 INFO  HomePage :71 - enter confirm password[[ChromeDriver: chrome on WINDOWS (f30ebafcc1147b8cba62e6ee1768eddf)] -> xpath: //input[@id='password-conf']]
2020-12-13 22:12:91 INFO  HomePage :78 - clicking on create button[[ChromeDriver: chrome on WINDOWS (f30ebafcc1147b8cba62e6ee1768eddf)] -> xpath: //span[contains(text(),'Create')]]
2020-12-13 22:12:625 INFO  HomePage :83 - "get text from account successfully"+_myAccountText.toString()
2020-12-13 22:12:585 INFO  HomePage :89 - Clicking on homePage tab[[ChromeDriver: chrome on WINDOWS (b6f66ea2b902312aeb74885efe298ad6)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[1]/a/span]
2020-12-13 22:12:703 INFO  HomePage :95 - get text from home page successfully[[ChromeDriver: chrome on WINDOWS (b6f66ea2b902312aeb74885efe298ad6)] -> xpath: //*[@id="content"]/div/div/div[2]/h1]
2020-12-13 22:12:805 INFO  HomePage :100 - Clicking on electronicButton[[ChromeDriver: chrome on WINDOWS (b6f66ea2b902312aeb74885efe298ad6)] -> xpath: //span[contains(text(),'Electronics')]]
2020-12-13 22:12:227 INFO  ElectronicPage :20 - Clicking on electronic button[[ChromeDriver: chrome on WINDOWS (b6f66ea2b902312aeb74885efe298ad6)] -> xpath: //h1[@id='page-title']]
2020-12-13 22:12:370 INFO  HomePage :106 - Clicking on new tab[[ChromeDriver: chrome on WINDOWS (6472674abe2a5d15a116f2fdc6f587e8)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[4]/a/span]
2020-12-13 22:12:579 INFO  NewArrivalsPage :24 - Get text from new arraivals tab[[ChromeDriver: chrome on WINDOWS (6472674abe2a5d15a116f2fdc6f587e8)] -> xpath: //h1[@id='page-title']]
2020-12-13 22:12:810 INFO  NewArrivalsPage :30 - Clicking on fitness tracker watch[[ChromeDriver: chrome on WINDOWS (6472674abe2a5d15a116f2fdc6f587e8)] -> xpath: //*[@id="content"]/div/div/div[3]/div/div/div[3]/ul/li[1]/div/div[1]/a/img]
2020-12-13 22:12:77 INFO  FitnessTrackerSmartWatchPage :20 - get text from fitness tracker smart watch[[ChromeDriver: chrome on WINDOWS (6472674abe2a5d15a116f2fdc6f587e8)] -> xpath: //h1[contains(text(),'Fitness Tracker Smart Watch')]]
