2020-12-13 16:12:554 INFO  HomePage :22 - Clicking on sign up link[[ChromeDriver: chrome on WINDOWS (11740c43462cc6262482080952f56b3c)] -> xpath: //body/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]]
2020-12-13 16:12:752 INFO  HomePage :24 - Clicking on sign up linkProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]'
2020-12-13 16:12:327 INFO  HomePage :28 - Clicking on sign up linkProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]'
2020-12-13 16:12:424 INFO  HomePage :28 - Clicking on sign up linkProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]'
2020-12-13 16:12:835 INFO  HomePage :29 - Clicking on sign up link[[ChromeDriver: chrome on WINDOWS (c8ac9c2deea52843823db5f5dec54e01)] -> xpath: //body/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]]
2020-12-13 16:12:582 INFO  HomePage :35 - Clicking on new Account tab[[ChromeDriver: chrome on WINDOWS (c8ac9c2deea52843823db5f5dec54e01)] -> xpath: //tbody/tr[4]/td[1]/a[1]]
2020-12-13 16:12:864 INFO  HomePage :33 - Clicking on sign up link[[ChromeDriver: chrome on WINDOWS (a2c1d147dea66b98830ce428e241caf1)] -> xpath: //body/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]]
2020-12-13 16:12:498 INFO  HomePage :39 - Clicking on new Account tab[[ChromeDriver: chrome on WINDOWS (a2c1d147dea66b98830ce428e241caf1)] -> xpath: //tbody/tr[4]/td[1]/a[1]]
2020-12-13 16:12:946 INFO  HomePage :45 - enter email address[[ChromeDriver: chrome on WINDOWS (a2c1d147dea66b98830ce428e241caf1)] -> xpath: //input[@id='login']]
2020-12-13 16:12:407 INFO  HomePage :51 - enter passwordProxy element for: DefaultElementLocator 'By.xpath: //input[@id='login-password']'
2020-12-13 16:12:575 INFO  HomePage :35 - Clicking on sign up link[[ChromeDriver: chrome on WINDOWS (3692195beba2b2d89132b8f13bdfa921)] -> xpath: //body/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]]
2020-12-13 16:12:322 INFO  HomePage :41 - Clicking on new Account tab[[ChromeDriver: chrome on WINDOWS (3692195beba2b2d89132b8f13bdfa921)] -> xpath: //tbody/tr[4]/td[1]/a[1]]
2020-12-13 16:12:302 INFO  HomePage :47 - enter email addressProxy element for: DefaultElementLocator 'By.xpath: //body/div[11]/div[2]/form[1]/div[2]/div[1]/ul[1]/li[1]/div[3]/span[1]/input[1]'
2020-12-13 17:12:538 INFO  HomePage :35 - Clicking on sign up link[[ChromeDriver: chrome on WINDOWS (89673b112ed287297382d928abbd97d8)] -> xpath: //body/div[@id='mm-0']/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]]
2020-12-13 17:12:330 INFO  HomePage :41 - Clicking on new Account tab[[ChromeDriver: chrome on WINDOWS (89673b112ed287297382d928abbd97d8)] -> xpath: //tbody/tr[4]/td[1]/a[1]]
2020-12-13 17:12:390 INFO  HomePage :47 - enter email addressProxy element for: DefaultElementLocator 'By.xpath: //body/div[11]/div[2]/form[1]/div[2]/div[1]/ul[1]/li[1]/div[3]/span[1]/input[1]'
2020-12-13 17:12:598 INFO  HomePage :36 - Clicking on sign up link[[ChromeDriver: chrome on WINDOWS (ce006f0d8a0e575aa145a11f1209161a)] -> xpath: //body/div[@id='mm-0']/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]]
2020-12-13 17:12:546 INFO  HomePage :42 - Clicking on new Account tab[[ChromeDriver: chrome on WINDOWS (ce006f0d8a0e575aa145a11f1209161a)] -> xpath: //tbody/tr[4]/td[1]/a[1]]
